Date ID,Open,High,Low,Close,Adj Close,Volume,Date pos,Date 
21,135.699997,139.419998,135.190002,137.309998,137.309998,2133100,111,21-Apr-20
22,137.119995,138.080002,134.059998,134.919998,134.919998,1922300,112,22-Apr-20
23,137.589996,137.809998,130.990005,134,134,2586200,113,23-Apr-20
24,134.139999,137.940002,133.880005,137.149994,137.149994,2109400,114,24-Apr-20
25,137.919998,138.690002,135.070007,135.669998,135.669998,1408100,115,25-Apr-20
26,136.160004,139.839996,136.160004,138.919998,138.919998,2006800,116,26-Apr-20
27,139.759995,141.630005,139,141.25,141.25,1108100,117,27-Apr-20
28,142.320007,142.949997,139.460007,142.610001,142.610001,2896700,118,28-Apr-20
29,141.979996,143.199997,139.940002,141.139999,141.139999,1587500,119,29-Apr-20
30,141.699997,145.419998,141.580002,143.369995,143.369995,1283000,120,30-Apr-20
May,142.869995,143.440002,137.399994,139.869995,139.869995,1479800,121,1-May-20
2,140.589996,140.759995,137.309998,140.399994,140.399994,1282100,122,2-May-20
3,140.5,141.940002,137.539993,141.179993,141.179993,3061300,123,3-May-20
4,141.929993,142.009995,136.809998,137.789993,137.789993,1555300,124,4-May-20
5,138.369995,140.779999,138.130005,139.570007,139.570007,3111500,125,5-May-20
6,138.399994,144.559998,137.5,144.110001,144.110001,2025400,126,6-May-20
7,145.009995,146.089996,143.509995,144.399994,144.399994,1578700,127,7-May-20
8,145,147.800003,144.339996,145.679993,145.679993,2321300,128,8-May-20
9,146.050003,149.869995,145.679993,147.270004,147.270004,1680200,129,9-May-20
10,148.740005,148.75,145.479996,147.820007,147.820007,1557100,130,10-May-20
11,149,151.320007,148.240005,150.759995,150.759995,1151600,131,11-May-20
12,150.850006,154.880005,150.229996,153.910004,153.910004,1313400,132,12-May-20
13,154.460007,155.990005,146.149994,146.820007,146.820007,1671500,133,13-May-20
14,145.509995,151.279999,144.139999,151.050003,151.050003,1284200,134,14-May-20
15,150.020004,152.050003,147.949997,151.279999,151.279999,1499600,135,15-May-20
16,150.520004,151.169998,148.119995,150.309998,150.309998,786400,136,16-May-20
17,150.679993,151.139999,148.710007,150.580002,150.580002,1055400,137,17-May-20
18,151.139999,155.210007,150.880005,154.699997,154.699997,846500,138,18-May-20
19,155.630005,156.320007,152.449997,153.059998,153.059998,850800,139,19-May-20
20,153.580002,155.479996,153.089996,154.050003,154.050003,717800,140,20-May-20
21,155.509995,155.880005,151.020004,151.479996,151.479996,895800,141,21-May-20
22,150.039993,156.679993,148.880005,156.020004,156.020004,1641900,142,22-May-20
23,157.160004,160.259995,156.669998,159.240005,159.240005,1144100,143,23-May-20
24,158.110001,158.940002,156.020004,156.410004,156.410004,732500,144,24-May-20
25,157.559998,159.240005,156.860001,157.820007,157.820007,686600,145,25-May-20
26,156.720001,160.550003,155.919998,159.559998,159.559998,954800,146,26-May-20
27,163.919998,164.110001,160.070007,164.020004,164.020004,1762400,147,27-May-20
28,165.639999,169.190002,164.25,167.690002,167.690002,3615000,148,28-May-20
29,175.690002,180.610001,172.059998,177.520004,177.520004,4555500,149,29-May-20
30,175.619995,177.059998,171.339996,176.020004,176.020004,1646800,150,30-May-20
31,176.309998,177.889999,174.110001,177.339996,177.339996,1153200,151,31-May-20
June,175.320007,176.550003,171.649994,174.960007,174.960007,1280300,152,1-Jun-20
2,175.100006,175.5,171.869995,174.729996,174.729996,1011700,153,2-Jun-20
3,173.759995,173.759995,165.339996,167.110001,167.110001,1829900,154,3-Jun-20
4,167.020004,170.259995,166.139999,168.110001,168.110001,1235400,155,4-Jun-20
5,169.220001,172.479996,169.130005,171.279999,171.279999,784900,156,5-Jun-20
6,173.259995,175.520004,172.210007,173.410004,173.410004,1085800,157,6-Jun-20
7,175.720001,175.860001,173.809998,175.210007,175.210007,641800,158,7-Jun-20
